player_id,player_name,team_abbr,games,avg_minutes,total_minutes,avg_speed,top_speed,total_miles,total_hi_15,total_hi_18,total_hi_20,hi_dist_15_per_36,hi_dist_18_per_36,hi_dist_20_per_36,fatigue_games,avg_q1_speed,avg_q4_speed,avg_q1_hi_15,avg_q4_hi_15,avg_q1_hi_18,avg_q4_hi_18,avg_q1_hi_20,avg_q4_hi_20,fatigue_pct_15,fatigue_pct_18,fatigue_pct_20,speed_fatigue_pct
708,Kevin Garnett,MIN,37,13.89673873873874,514.1793333333334,6.305297297297297,34.72,36.572,4.007,0.741,0.207,0.2805480318799277,0.051880731625412145,0.014492997903455214,,,,,,,,,,,,,
977,Kobe Bryant,LAL,36,28.698925925925924,1033.1613333333332,6.0626388888888885,34.683,70.507,7.599,1.578,0.395,0.2647834284674482,0.0549846361523402,0.013763581292886174,23.0,6.357217391304348,5.6113478260869565,0.07021739130434783,0.042652173913043476,0.014478260869565218,0.009130434782608695,0.003391304347826087,0.0025652173913043477,39.25696594427245,36.936936936936945,24.35897435897436,11.732642118509611
1495,Tim Duncan,SAS,35,23.660590476190478,828.1206666666667,5.783714285714286,34.798,54.125,4.704,0.748,0.163,0.2044919379703924,0.03251700034053008,0.007085923870997866,21.0,5.889714285714286,5.808285714285715,0.04066666666666666,0.033428571428571426,0.006047619047619047,0.0074285714285714285,0.0014285714285714286,0.0015714285714285715,17.798594847775178,-22.83464566929134,-10.000000000000005,1.3825555447753874
1713,Vince Carter,MEM,25,12.95576,323.894,6.159120000000001,33.478,22.325,2.066,0.384,0.105,0.22963068164275963,0.04268063008268137,0.011670484788233185,,,,,,,,,,,,,
1717,Dirk Nowitzki,DAL,39,28.956000000000003,1129.284,5.611358974358974,34.956,71.518,3.56,0.405,0.093,0.113487838311709,0.012910835538270266,0.0029647103828620612,38.0,5.64107894736842,5.502131578947368,0.0253421052631579,0.016578947368421054,0.002631578947368421,0.0020789473684210526,0.0006052631578947369,0.0006578947368421052,34.57943925233645,21.0,-8.695652173913036,2.4631346187039638
1718,Paul Pierce,LAC,36,17.118222222222222,616.256,5.590944444444444,34.412,38.635,3.035,0.6799999999999999,0.197,0.17729644822930732,0.039723751168345624,0.011508204382594247,23.0,5.675,5.3265652173913045,0.025043478260869566,0.02391304347826087,0.004652173913043478,0.006391304347826087,0.0011739130434782609,0.002391304347826087,4.513888888888891,-37.38317757009345,-103.7037037037037,6.139819957862472
1891,Jason Terry,HOU,36,16.53690740740741,595.3286666666667,6.426861111111111,34.451,43.015,5.739,1.945,0.675,0.34704191410235014,0.11761570359454106,0.04081778916520063,21.0,6.689476190476191,6.328095238095237,0.05085714285714286,0.055,0.016523809523809524,0.01780952380952381,0.0054285714285714284,0.006190476190476191,-8.146067415730336,-7.780979827089338,-14.035087719298254,5.402230938432105
1938,Manu Ginobili,SAS,35,18.084114285714286,632.944,6.2463999999999995,33.221,44.63,5.033,0.869,0.199,0.28626229176672824,0.04942617356353801,0.01131853686898051,29.0,6.293793103448277,6.443103448275862,0.04155172413793104,0.039689655172413796,0.006655172413793104,0.007827586206896551,0.0013793103448275863,0.0023103448275862072,4.481327800829881,-17.61658031088081,-67.50000000000001,-2.3723427569581217
2034,Mike Miller,DEN,29,9.137333333333332,264.98266666666666,6.0777241379310345,31.87,18.541999999999998,2.413,0.638,0.167,0.32782521624055916,0.08667736757624399,0.02268827646588205,,,,,,,,,,,,,
2037,Jamal Crawford,LAC,39,24.35622222222222,949.8926666666666,5.906384615384615,34.904,63.15,6.493,1.706,0.503,0.24607832884978587,0.06465572601536033,0.019063206439464388,39.0,6.0133846153846156,5.806358974358974,0.03276923076923077,0.04851282051282051,0.00823076923076923,0.013384615384615385,0.001794871794871795,0.004692307692307692,-48.04381846635366,-62.61682242990655,-161.42857142857136,3.4427473755127487
2199,Tyson Chandler,PHX,33,21.31335353535354,703.3406666666667,5.93430303030303,29.255,46.794,4.193,0.786,0.191,0.21461577177868285,0.04023086015216903,0.009776201385577969,17.0,5.942235294117647,5.7971764705882345,0.04588235294117647,0.024470588235294116,0.009705882352941177,0.004941176470588234,0.0034705882352941177,0.0007647058823529412,46.66666666666667,49.0909090909091,77.96610169491525,2.4411491021402223
2200,Pau Gasol,CHI,38,29.64854385964912,1126.6446666666666,5.838631578947369,32.956,74.204,7.131,1.079,0.138,0.2278588871853711,0.03447759630809359,0.004409553559329858,34.0,6.001617647058824,5.731470588235294,0.06405882352941177,0.028676470588235293,0.010088235294117648,0.003588235294117647,0.0013529411764705882,0.00035294117647058826,55.23415977961433,64.43148688046647,73.91304347826087,4.501237411482204
2207,Joe Johnson,BKN,41,32.43738211382114,1329.9326666666666,6.1654634146341465,34.966,92.529,8.201,1.482,0.343,0.2219931936403798,0.04011631666565576,0.009284680577813714,39.0,6.408743589743589,5.76948717948718,0.061384615384615385,0.037128205128205125,0.010076923076923077,0.007846153846153846,0.0022307692307692306,0.0015897435897435897,39.51545530492899,22.13740458015267,28.735632183908045,9.974754041953894
2210,Richard Jefferson,CLE,37,17.731765765765765,656.0753333333333,5.933162162162162,33.95,43.861000000000004,6.711,2.323,0.9369999999999999,0.3682442971488031,0.1274670693304529,0.05141482736230494,31.0,5.738161290322581,5.6933870967741935,0.037612903225806446,0.061354838709677416,0.012451612903225807,0.02041935483870968,0.004064516129032258,0.009064516129032257,-63.12178387650087,-63.989637305699475,-123.015873015873,0.7802881669411971
